,Time,temp_z-score_nov16,salinity_z-score_nov16,odo_z-score_nov16
97,19:14.6,0.49329032397186023,0.8473931328879121,0.3830876694581725
98,19:15.6,0.49329032397186023,1.0831197721991106,0.35348519265216954
99,19:16.6,0.49329032397186023,0.9966866711183385,0.35348519265216954
100,19:17.6,0.49329032397186023,0.8356068009223545,0.44229262307017847
101,19:18.6,0.49329032397186023,0.8356068009223545,0.44229262307017847
102,19:19.6,0.49329032397186023,0.9456125659342446,0.4126901462641755
103,19:20.6,0.49329032397186023,0.9456125659342446,0.4126901462641755
104,19:21.6,0.49329032397186023,0.9573988978998049,0.4126901462641755
105,19:22.6,0.49329032397186023,0.9849003391527782,0.3830876694581725
106,19:23.6,0.49329032397186023,0.9849003391527782,0.3830876694581725
107,19:24.6,0.49329032397186023,0.9652564525435128,0.35348519265216954
