,Time,temp_z-score_oct21,salinity_z-score_oct21,odo_z-score_oct21
85,57:47.2,0.4127870938759763,0.10122547430217924,-0.11687639673284966
86,57:48.2,0.4127870938759763,0.10122547430217924,-0.11687639673284966
87,57:49.2,0.4127870938759763,0.526109450586616,-0.4335891393781268
88,57:50.2,0.4127870938759763,-0.968794833620024,0.7960015085388323
89,57:51.2,0.4127870938759763,-0.968794833620024,0.7960015085388323
90,57:52.3,0.4127870938759763,0.525328413865505,-0.4335891393781268
91,57:53.3,0.4127870938759763,0.526109450586616,-0.4335891393781268
92,57:54.3,0.4127870938759763,0.526109450586616,-0.4335891393781268
93,57:55.3,0.4127870938759763,0.5245473771443941,-0.4335891393781268
94,57:56.3,0.4127870938759763,0.5214232302599497,-0.4335891393781268
95,57:57.3,0.292649116725917,0.38161765718106344,-0.30317801005360034
96,57:58.3,0.292649116725917,0.38161765718106344,-0.30317801005360034
