,Time,temp_z-score_dec16,salinity_z-score_dec16,odo_z-score_dec16
71,43:57.9,1.324447442395104,0.24588133814696958,-0.7233128769106759
72,43:59.0,1.324447442395104,0.24701273026491408,-0.7396699250633184
73,44:00.0,1.324447442395104,0.24588133814696958,-0.7233128769106759
74,44:01.0,1.324447442395104,0.2481441223828586,-0.7233128769106759
75,44:01.9,1.324447442395104,0.2481441223828586,-0.7233128769106759
76,44:03.0,1.324447442395104,0.2492755145008039,-0.7396699250633184
77,44:04.0,1.324447442395104,0.25266969085463825,-0.7233128769106759
78,44:05.0,1.324447442395104,0.25266969085463825,-0.7233128769106759
79,44:06.0,1.324447442395104,0.2515382987366929,-0.7233128769106759
80,44:07.0,1.324447442395104,0.25266969085463825,-0.7233128769106759
81,44:07.9,1.324447442395104,0.25266969085463825,-0.7233128769106759
82,44:09.0,1.324447442395104,0.25380108297258275,-0.7233128769106759
83,44:09.9,1.324447442395104,0.25606386720847174,-0.7069558287580328
84,44:11.0,1.324447442395104,0.25380108297258275,-0.6905987806053903
85,44:12.0,1.324447442395104,0.25493247509052724,-0.6742417324527471
86,44:13.0,1.324447442395104,0.25493247509052724,-0.6742417324527471
87,44:14.0,1.324447442395104,0.25493247509052724,-0.6742417324527471
88,44:15.0,1.324447442395104,0.25606386720847174,-0.6415276361474614
89,44:16.0,1.324447442395104,0.25606386720847174,-0.6415276361474614
90,44:17.0,1.324447442395104,0.25493247509052724,-0.625170587994819
91,44:18.0,1.324447442395104,0.25719525932641707,-0.6088135398421766
92,44:19.0,1.324447442395104,0.25719525932641707,-0.6088135398421766
93,44:20.0,1.324447442395104,0.25606386720847174,-0.5924564916895341
94,44:21.0,1.324447442395104,0.25266969085463825,-0.5760994435368901
95,44:22.0,1.324447442395104,0.25493247509052724,-0.5597423953842476
96,44:23.0,1.324447442395104,0.25493247509052724,-0.5597423953842476
97,44:24.0,1.324447442395104,0.2515382987366929,-0.5433853472316053
98,44:25.0,1.324447442395104,0.25493247509052724,-0.5270282990789628
99,44:26.0,1.324447442395104,0.25493247509052724,-0.5270282990789628
100,44:27.0,1.324447442395104,0.25493247509052724,-0.5106712509263188
101,44:28.0,1.324447442395104,0.25832665144436157,-0.4943142027736764
102,44:29.0,1.324447442395104,0.25832665144436157,-0.4943142027736764
103,44:30.0,1.324447442395104,0.25606386720847174,-0.47795715462103394
104,44:31.0,1.324447442395104,0.25493247509052724,-0.4616001064683915
105,44:32.0,1.324447442395104,0.25493247509052724,-0.4616001064683915
106,44:33.0,1.324447442395104,0.25606386720847174,-0.44524305831574756
107,44:34.0,1.324447442395104,0.25719525932641707,-0.44524305831574756
108,44:35.0,1.324447442395104,0.25832665144436157,-0.4288860101631051
109,44:36.1,1.324447442395104,0.25606386720847174,-0.4125289620104627
110,44:37.1,1.324447442395104,0.25606386720847174,-0.4125289620104627
111,44:38.1,1.324447442395104,0.25606386720847174,-0.4125289620104627
112,44:39.1,1.324447442395104,0.25493247509052724,-0.4125289620104627
113,44:40.1,1.324447442395104,0.2515382987366929,-0.3798148657051763
114,44:41.1,1.324447442395104,0.2515382987366929,-0.3798148657051763
115,44:42.1,1.324447442395104,0.25493247509052724,-0.3798148657051763
116,44:43.1,-0.34317737078029,0.25493247509052724,-0.3798148657051763
117,44:44.1,-0.34317737078029,0.25493247509052724,-0.3798148657051763
118,44:45.1,-0.34317737078029,0.25380108297258275,-0.3798148657051763
119,44:46.1,-0.34317737078029,0.2504069066187484,-0.3634578175525338
120,44:47.1,-0.34317737078029,0.2504069066187484,-0.3634578175525338
121,44:48.1,-0.34317737078029,0.2504069066187484,-0.3634578175525338
122,44:49.1,-0.34317737078029,0.25266969085463825,-0.3634578175525338
123,44:50.1,-0.34317737078029,0.25266969085463825,-0.3634578175525338
124,44:51.1,-0.34317737078029,0.2515382987366929,-0.3471007693998914
125,44:52.1,-0.34317737078029,0.25380108297258275,-0.33074372124724893
126,44:53.2,-0.34317737078029,0.25380108297258275,-0.33074372124724893
