,Time,Temperature (c),Salinity (ppt),ODO mg/L,temp_z-score,salinity_z-score,odo_z-score,Date
214,33:03.4,28.89999962,37.95,3.0,-0.35947479597258675,0.9014672708164722,-0.8208567433330045,2024-10-07
215,33:04.4,28.89999962,37.95,3.0,-0.35947479597258675,0.9014672708164722,-0.8208567433330045,2024-10-07
216,33:05.4,28.89999962,38.18,3.0,-0.35947479597258675,0.9152934070149926,-0.8208567433330045,2024-10-07
217,33:06.4,28.89999962,38.21,2.97,-0.35947479597258675,0.9170968160843649,-0.8345058334712357,2024-10-07
218,33:07.4,28.89999962,38.21,2.97,-0.35947479597258675,0.9170968160843649,-0.8345058334712357,2024-10-07
219,33:08.4,28.89999962,38.16,2.96,-0.35947479597258675,0.9140911343020776,-0.8390555301839797,2024-10-07
220,33:09.4,28.89999962,38.24,2.92,-0.35947479597258675,0.9189002251537373,-0.8572543170349549,2024-10-07
221,33:10.4,28.89999962,38.24,2.92,-0.35947479597258675,0.9189002251537373,-0.8572543170349549,2024-10-07
222,33:11.4,28.89999962,38.54,2.87,-0.35947479597258675,0.9369343158474597,-0.8800028005986739,2024-10-07
223,33:12.4,28.89999962,38.54,2.87,-0.35947479597258675,0.9369343158474597,-0.8800028005986739,2024-10-07
224,33:13.4,28.89999962,38.27,2.87,-0.35947479597258675,0.9207036342231095,-0.8800028005986739,2024-10-07
225,33:14.4,28.89999962,38.17,2.84,-0.35947479597258675,0.9146922706585353,-0.8936518907369054,2024-10-07
226,33:15.4,28.89999962,38.17,2.84,-0.35947479597258675,0.9146922706585353,-0.8936518907369054,2024-10-07
227,33:16.4,28.89999962,38.15,2.82,-0.35947479597258675,0.9134899979456202,-0.902751284162393,2024-10-07
228,33:17.4,28.89999962,38.16,2.79,-0.35947479597258675,0.9140911343020776,-0.9164003743006244,2024-10-07
229,33:18.4,28.89999962,38.16,2.79,-0.35947479597258675,0.9140911343020776,-0.9164003743006244,2024-10-07
230,33:19.4,28.89999962,38.57,2.77,-0.35947479597258675,0.938737724916832,-0.925499767726112,2024-10-07
231,33:20.4,28.79999924,38.34,2.75,-0.5106935727603972,0.9249115887183116,-0.9345991611515996,2024-10-07
232,33:21.4,28.79999924,38.34,2.75,-0.5106935727603972,0.9249115887183116,-0.9345991611515996,2024-10-07
233,33:22.4,28.79999924,38.15,2.75,-0.5106935727603972,0.9134899979456202,-0.9345991611515996,2024-10-07
234,33:23.4,28.79999924,38.46,2.74,-0.5106935727603972,0.9321252249958004,-0.9391488578643433,2024-10-07
235,33:24.5,28.79999924,38.46,2.74,-0.5106935727603972,0.9321252249958004,-0.9391488578643433,2024-10-07
236,33:25.4,28.79999924,38.53,2.73,-0.5106935727603972,0.9363331794910024,-0.9436985545770872,2024-10-07
237,33:26.5,28.79999924,38.53,2.73,-0.5106935727603972,0.9363331794910024,-0.9436985545770872,2024-10-07
238,33:27.5,28.79999924,38.17,2.73,-0.5106935727603972,0.9146922706585353,-0.9436985545770872,2024-10-07
239,33:28.5,28.79999924,38.09,2.73,-0.5106935727603972,0.909883179806876,-0.9436985545770872,2024-10-07
240,33:29.5,28.79999924,38.0,2.72,-0.5106935727603972,0.904472952598759,-0.9482482512898309,2024-10-07
