,Time,Temperature (c),Salinity (ppt),ODO mg/L,temp_z-score,salinity_z-score,odo_z-score,Date
54,43:41.0,26.79999924,49.72,3.95,1.324447442395104,0.25493247509052724,-0.7069558287580328,2024-12-16
55,43:42.0,26.79999924,49.72,3.95,1.324447442395104,0.25493247509052724,-0.7069558287580328,2024-12-16
56,43:42.9,26.79999924,49.69,3.95,1.324447442395104,0.2515382987366929,-0.7069558287580328,2024-12-16
57,43:44.0,26.79999924,49.69,3.95,1.324447442395104,0.2515382987366929,-0.7069558287580328,2024-12-16
58,43:45.0,26.79999924,49.67,3.95,1.324447442395104,0.2492755145008039,-0.7069558287580328,2024-12-16
59,43:46.0,26.79999924,49.69,3.95,1.324447442395104,0.2515382987366929,-0.7069558287580328,2024-12-16
60,43:47.0,26.79999924,49.69,3.95,1.324447442395104,0.2515382987366929,-0.7069558287580328,2024-12-16
61,43:48.0,26.79999924,49.67,3.96,1.324447442395104,0.2492755145008039,-0.6905987806053903,2024-12-16
62,43:48.9,26.79999924,49.67,3.95,1.324447442395104,0.2492755145008039,-0.7069558287580328,2024-12-16
63,43:50.0,26.79999924,49.67,3.95,1.324447442395104,0.2492755145008039,-0.7069558287580328,2024-12-16
64,43:50.9,26.79999924,49.67,3.94,1.324447442395104,0.2492755145008039,-0.7233128769106759,2024-12-16
65,43:52.0,26.79999924,49.68,3.94,1.324447442395104,0.2504069066187484,-0.7233128769106759,2024-12-16
66,43:53.0,26.79999924,49.67,3.93,1.324447442395104,0.2492755145008039,-0.7396699250633184,2024-12-16
67,43:54.0,26.79999924,49.67,3.94,1.324447442395104,0.2492755145008039,-0.7233128769106759,2024-12-16
68,43:54.9,26.79999924,49.67,3.94,1.324447442395104,0.2492755145008039,-0.7233128769106759,2024-12-16
69,43:55.9,26.79999924,49.67,3.95,1.324447442395104,0.2492755145008039,-0.7069558287580328,2024-12-16
70,43:57.0,26.79999924,49.64,3.94,1.324447442395104,0.24588133814696958,-0.7233128769106759,2024-12-16
71,43:57.9,26.79999924,49.64,3.94,1.324447442395104,0.24588133814696958,-0.7233128769106759,2024-12-16
72,43:59.0,26.79999924,49.65,3.93,1.324447442395104,0.24701273026491408,-0.7396699250633184,2024-12-16
73,44:00.0,26.79999924,49.64,3.94,1.324447442395104,0.24588133814696958,-0.7233128769106759,2024-12-16
74,44:01.0,26.79999924,49.66,3.94,1.324447442395104,0.2481441223828586,-0.7233128769106759,2024-12-16
75,44:01.9,26.79999924,49.66,3.94,1.324447442395104,0.2481441223828586,-0.7233128769106759,2024-12-16
76,44:03.0,26.79999924,49.67,3.93,1.324447442395104,0.2492755145008039,-0.7396699250633184,2024-12-16
77,44:04.0,26.79999924,49.7,3.94,1.324447442395104,0.25266969085463825,-0.7233128769106759,2024-12-16
78,44:05.0,26.79999924,49.7,3.94,1.324447442395104,0.25266969085463825,-0.7233128769106759,2024-12-16
79,44:06.0,26.79999924,49.69,3.94,1.324447442395104,0.2515382987366929,-0.7233128769106759,2024-12-16
80,44:07.0,26.79999924,49.7,3.94,1.324447442395104,0.25266969085463825,-0.7233128769106759,2024-12-16
81,44:07.9,26.79999924,49.7,3.94,1.324447442395104,0.25266969085463825,-0.7233128769106759,2024-12-16
82,44:09.0,26.79999924,49.71,3.94,1.324447442395104,0.25380108297258275,-0.7233128769106759,2024-12-16
83,44:09.9,26.79999924,49.73,3.95,1.324447442395104,0.25606386720847174,-0.7069558287580328,2024-12-16
84,44:11.0,26.79999924,49.71,3.96,1.324447442395104,0.25380108297258275,-0.6905987806053903,2024-12-16
85,44:12.0,26.79999924,49.72,3.97,1.324447442395104,0.25493247509052724,-0.6742417324527471,2024-12-16
86,44:13.0,26.79999924,49.72,3.97,1.324447442395104,0.25493247509052724,-0.6742417324527471,2024-12-16
87,44:14.0,26.79999924,49.72,3.97,1.324447442395104,0.25493247509052724,-0.6742417324527471,2024-12-16
88,44:15.0,26.79999924,49.73,3.99,1.324447442395104,0.25606386720847174,-0.6415276361474614,2024-12-16
89,44:16.0,26.79999924,49.73,3.99,1.324447442395104,0.25606386720847174,-0.6415276361474614,2024-12-16
90,44:17.0,26.79999924,49.72,4.0,1.324447442395104,0.25493247509052724,-0.625170587994819,2024-12-16
91,44:18.0,26.79999924,49.74,4.01,1.324447442395104,0.25719525932641707,-0.6088135398421766,2024-12-16
92,44:19.0,26.79999924,49.74,4.01,1.324447442395104,0.25719525932641707,-0.6088135398421766,2024-12-16
93,44:20.0,26.79999924,49.73,4.02,1.324447442395104,0.25606386720847174,-0.5924564916895341,2024-12-16
94,44:21.0,26.79999924,49.7,4.03,1.324447442395104,0.25266969085463825,-0.5760994435368901,2024-12-16
95,44:22.0,26.79999924,49.72,4.04,1.324447442395104,0.25493247509052724,-0.5597423953842476,2024-12-16
96,44:23.0,26.79999924,49.72,4.04,1.324447442395104,0.25493247509052724,-0.5597423953842476,2024-12-16
97,44:24.0,26.79999924,49.69,4.05,1.324447442395104,0.2515382987366929,-0.5433853472316053,2024-12-16
98,44:25.0,26.79999924,49.72,4.06,1.324447442395104,0.25493247509052724,-0.5270282990789628,2024-12-16
99,44:26.0,26.79999924,49.72,4.06,1.324447442395104,0.25493247509052724,-0.5270282990789628,2024-12-16
100,44:27.0,26.79999924,49.72,4.07,1.324447442395104,0.25493247509052724,-0.5106712509263188,2024-12-16
101,44:28.0,26.79999924,49.75,4.08,1.324447442395104,0.25832665144436157,-0.4943142027736764,2024-12-16
102,44:29.0,26.79999924,49.75,4.08,1.324447442395104,0.25832665144436157,-0.4943142027736764,2024-12-16
103,44:30.0,26.79999924,49.73,4.09,1.324447442395104,0.25606386720847174,-0.47795715462103394,2024-12-16
104,44:31.0,26.79999924,49.72,4.1,1.324447442395104,0.25493247509052724,-0.4616001064683915,2024-12-16
105,44:32.0,26.79999924,49.72,4.1,1.324447442395104,0.25493247509052724,-0.4616001064683915,2024-12-16
106,44:33.0,26.79999924,49.73,4.11,1.324447442395104,0.25606386720847174,-0.44524305831574756,2024-12-16
107,44:34.0,26.79999924,49.74,4.11,1.324447442395104,0.25719525932641707,-0.44524305831574756,2024-12-16
108,44:35.0,26.79999924,49.75,4.12,1.324447442395104,0.25832665144436157,-0.4288860101631051,2024-12-16
109,44:36.1,26.79999924,49.73,4.13,1.324447442395104,0.25606386720847174,-0.4125289620104627,2024-12-16
110,44:37.1,26.79999924,49.73,4.13,1.324447442395104,0.25606386720847174,-0.4125289620104627,2024-12-16
111,44:38.1,26.79999924,49.73,4.13,1.324447442395104,0.25606386720847174,-0.4125289620104627,2024-12-16
112,44:39.1,26.79999924,49.72,4.13,1.324447442395104,0.25493247509052724,-0.4125289620104627,2024-12-16
113,44:40.1,26.79999924,49.69,4.15,1.324447442395104,0.2515382987366929,-0.3798148657051763,2024-12-16
114,44:41.1,26.79999924,49.69,4.15,1.324447442395104,0.2515382987366929,-0.3798148657051763,2024-12-16
115,44:42.1,26.79999924,49.72,4.15,1.324447442395104,0.25493247509052724,-0.3798148657051763,2024-12-16
116,44:43.1,26.70000076,49.72,4.15,-0.34317737078029,0.25493247509052724,-0.3798148657051763,2024-12-16
117,44:44.1,26.70000076,49.72,4.15,-0.34317737078029,0.25493247509052724,-0.3798148657051763,2024-12-16
118,44:45.1,26.70000076,49.71,4.15,-0.34317737078029,0.25380108297258275,-0.3798148657051763,2024-12-16
119,44:46.1,26.70000076,49.68,4.16,-0.34317737078029,0.2504069066187484,-0.3634578175525338,2024-12-16
120,44:47.1,26.70000076,49.68,4.16,-0.34317737078029,0.2504069066187484,-0.3634578175525338,2024-12-16
121,44:48.1,26.70000076,49.68,4.16,-0.34317737078029,0.2504069066187484,-0.3634578175525338,2024-12-16
122,44:49.1,26.70000076,49.7,4.16,-0.34317737078029,0.25266969085463825,-0.3634578175525338,2024-12-16
123,44:50.1,26.70000076,49.7,4.16,-0.34317737078029,0.25266969085463825,-0.3634578175525338,2024-12-16
124,44:51.1,26.70000076,49.69,4.17,-0.34317737078029,0.2515382987366929,-0.3471007693998914,2024-12-16
125,44:52.1,26.70000076,49.71,4.18,-0.34317737078029,0.25380108297258275,-0.33074372124724893,2024-12-16
126,44:53.2,26.70000076,49.71,4.18,-0.34317737078029,0.25380108297258275,-0.33074372124724893,2024-12-16
127,44:54.2,26.70000076,49.71,4.18,-0.34317737078029,0.25380108297258275,-0.33074372124724893,2024-12-16
128,44:55.2,26.70000076,49.7,4.19,-0.34317737078029,0.25266969085463825,-0.314386673094605,2024-12-16
129,44:56.2,26.70000076,49.7,4.19,-0.34317737078029,0.25266969085463825,-0.314386673094605,2024-12-16
130,44:57.2,26.70000076,49.7,4.2,-0.34317737078029,0.25266969085463825,-0.29802962494196256,2024-12-16
131,44:58.2,26.70000076,49.62,4.23,-0.34317737078029,0.24361855391107975,-0.24895848048403374,2024-12-16
132,44:59.2,26.70000076,49.62,4.23,-0.34317737078029,0.24361855391107975,-0.24895848048403374,2024-12-16
133,45:00.2,26.70000076,49.6,4.24,-0.34317737078029,0.24135576967519073,-0.23260143233139127,2024-12-16
134,45:01.3,26.70000076,49.59,4.26,-0.34317737078029,0.24022437755724624,-0.19988733602610637,2024-12-16
135,45:02.3,26.70000076,49.59,4.26,-0.34317737078029,0.24022437755724624,-0.19988733602610637,2024-12-16
136,45:03.3,26.70000076,49.62,4.28,-0.34317737078029,0.24361855391107975,-0.16717323972082,2024-12-16
137,45:04.3,26.70000076,49.69,4.31,-0.34317737078029,0.2515382987366929,-0.11810209526289261,2024-12-16
138,45:05.3,26.70000076,49.69,4.31,-0.34317737078029,0.2515382987366929,-0.11810209526289261,2024-12-16
139,45:06.3,26.70000076,49.78,4.32,-0.34317737078029,0.26172082779819594,-0.1017450471102487,2024-12-16
140,45:07.3,26.70000076,49.82,4.35,-0.34317737078029,0.26624639626997476,-0.05267390265232133,2024-12-16
141,45:08.3,26.70000076,49.85,4.39,-0.34317737078029,0.2696405726238091,0.012754289958249957,2024-12-16
142,45:09.3,26.70000076,49.85,4.39,-0.34317737078029,0.2696405726238091,0.012754289958249957,2024-12-16
143,45:10.3,26.70000076,49.9,4.41,-0.34317737078029,0.27529753321353245,0.045468386263536324,2024-12-16
144,45:11.3,26.70000076,49.88,4.44,-0.34317737078029,0.2730347489776434,0.09453953072146515,2024-12-16
145,45:12.3,26.70000076,50.06,4.49,-0.34317737078029,0.2933998071006486,0.1763247714846789,2024-12-16
146,45:13.3,26.70000076,50.06,4.49,-0.34317737078029,0.2933998071006486,0.1763247714846789,2024-12-16
147,45:14.3,26.70000076,50.04,4.52,-0.34317737078029,0.2911370228647588,0.22539591594260627,2024-12-16
148,45:15.3,26.70000076,49.98,4.58,-0.34317737078029,0.2843486701570901,0.3235382048584639,2024-12-16
149,45:16.3,26.70000076,49.98,4.58,-0.34317737078029,0.2843486701570901,0.3235382048584639,2024-12-16
150,45:17.3,26.70000076,49.97,4.62,-0.34317737078029,0.2832172780391456,0.3889663974690352,2024-12-16
151,45:18.3,26.70000076,49.88,4.69,-0.34317737078029,0.2730347489776434,0.5034657345375353,2024-12-16
152,45:19.3,26.70000076,49.88,4.69,-0.34317737078029,0.2730347489776434,0.5034657345375353,2024-12-16
153,45:20.3,26.70000076,49.97,4.74,-0.34317737078029,0.2832172780391456,0.5852509753007491,2024-12-16
154,45:21.3,26.70000076,50.03,4.78,-0.34317737078029,0.29000563074681424,0.6506791679113203,2024-12-16
155,45:22.3,26.70000076,50.12,4.86,-0.34317737078029,0.3001881598083164,0.7815355531324629,2024-12-16
156,45:23.3,26.70000076,50.1,4.9,-0.34317737078029,0.29792537557242743,0.8469637457430342,2024-12-16
157,45:24.4,26.70000076,50.08,4.93,-0.34317737078029,0.2956625913365376,0.8960348902009616,2024-12-16
158,45:25.4,26.70000076,50.08,4.97,-0.34317737078029,0.2956625913365376,0.9614630828115328,2024-12-16
159,45:26.4,26.70000076,50.09,5.0,-0.34317737078029,0.29679398345448293,1.0105342272694617,2024-12-16
160,45:27.4,26.70000076,50.08,5.04,-0.34317737078029,0.2956625913365376,1.075962419880033,2024-12-16
161,45:28.4,26.70000076,50.07,5.07,-0.34317737078029,0.2945311992185931,1.1250335643379619,2024-12-16
162,45:29.4,26.70000076,50.07,5.1,-0.34317737078029,0.2945311992185931,1.1741047087958891,2024-12-16
163,45:30.4,26.70000076,50.07,5.13,-0.34317737078029,0.2945311992185931,1.223175853253818,2024-12-16
164,45:31.4,26.70000076,50.06,5.17,-0.34317737078029,0.2933998071006486,1.2886040458643893,2024-12-16
165,45:32.4,26.70000076,50.07,5.19,-0.34317737078029,0.2945311992185931,1.3213181421696756,2024-12-16
166,45:33.4,26.70000076,50.08,5.22,-0.34317737078029,0.2956625913365376,1.370389286627603,2024-12-16
167,45:34.4,26.70000076,50.08,5.24,-0.34317737078029,0.2956625913365376,1.4031033829328894,2024-12-16
168,45:35.4,26.60000038,50.08,5.27,-2.0108338693088257,0.2956625913365376,1.4521745273908166,2024-12-16
169,45:36.4,26.60000038,50.08,5.28,-2.0108338693088257,0.2956625913365376,1.4685315755434607,2024-12-16
170,45:37.5,26.60000038,50.07,5.31,-2.0108338693088257,0.2945311992185931,1.517602720001388,2024-12-16
171,45:38.5,26.60000038,50.04,5.33,-2.0108338693088257,0.2911370228647588,1.5503168163066745,2024-12-16
172,45:39.4,26.60000038,49.99,5.36,-2.0108338693088257,0.2854800622750354,1.5993879607646033,2024-12-16
173,45:40.5,26.70000076,49.97,5.38,-0.34317737078029,0.2832172780391456,1.632102057069888,2024-12-16
174,45:41.5,26.70000076,49.93,5.39,-0.34317737078029,0.2786917095673668,1.6484591052225306,2024-12-16
175,45:42.5,26.70000076,49.92,5.41,-0.34317737078029,0.2775603174494223,1.681173201527817,2024-12-16
176,45:43.5,26.70000076,49.91,5.41,-0.34317737078029,0.27642892533147695,1.681173201527817,2024-12-16
177,45:44.5,26.70000076,49.9,5.43,-0.34317737078029,0.27529753321353245,1.713887297833102,2024-12-16
178,45:45.4,26.70000076,49.89,5.44,-0.34317737078029,0.2741661410955879,1.7302443459857457,2024-12-16
179,45:46.5,26.70000076,49.89,5.46,-0.34317737078029,0.2741661410955879,1.7629584422910307,2024-12-16
180,45:47.4,26.70000076,49.87,5.48,-0.34317737078029,0.27190335685969813,1.795672538596317,2024-12-16
181,45:48.5,26.70000076,49.88,5.48,-0.34317737078029,0.2730347489776434,1.795672538596317,2024-12-16
182,45:49.5,26.70000076,49.87,5.48,-0.34317737078029,0.27190335685969813,1.795672538596317,2024-12-16
183,45:50.5,26.70000076,49.87,5.49,-0.34317737078029,0.27190335685969813,1.8120295867489595,2024-12-16
184,45:51.5,26.70000076,49.87,5.5,-0.34317737078029,0.27190335685969813,1.828386634901602,2024-12-16
185,45:52.5,26.70000076,49.86,5.5,-0.34317737078029,0.2707719647417536,1.828386634901602,2024-12-16
186,45:53.5,26.70000076,49.87,5.51,-0.34317737078029,0.27190335685969813,1.8447436830542445,2024-12-16
187,45:54.6,26.70000076,49.86,5.5,-0.34317737078029,0.2707719647417536,1.828386634901602,2024-12-16
188,45:55.6,26.70000076,49.86,5.5,-0.34317737078029,0.2707719647417536,1.828386634901602,2024-12-16
189,45:56.6,26.70000076,49.85,5.51,-0.34317737078029,0.2696405726238091,1.8447436830542445,2024-12-16
190,45:57.6,26.70000076,49.86,5.5,-0.34317737078029,0.2707719647417536,1.828386634901602,2024-12-16
191,45:58.6,26.70000076,49.86,5.5,-0.34317737078029,0.2707719647417536,1.828386634901602,2024-12-16
192,45:59.6,26.70000076,49.86,5.5,-0.34317737078029,0.2707719647417536,1.828386634901602,2024-12-16
193,46:00.6,26.70000076,49.85,5.49,-0.34317737078029,0.2696405726238091,1.8120295867489595,2024-12-16
194,46:01.6,26.70000076,49.87,5.49,-0.34317737078029,0.27190335685969813,1.8120295867489595,2024-12-16
195,46:02.6,26.70000076,49.85,5.5,-0.34317737078029,0.2696405726238091,1.828386634901602,2024-12-16
196,46:03.6,26.70000076,49.85,5.5,-0.34317737078029,0.2696405726238091,1.828386634901602,2024-12-16
197,46:04.6,26.70000076,49.85,5.5,-0.34317737078029,0.2696405726238091,1.828386634901602,2024-12-16
198,46:05.6,26.70000076,49.85,5.5,-0.34317737078029,0.2696405726238091,1.828386634901602,2024-12-16
199,46:06.6,26.70000076,49.85,5.51,-0.34317737078029,0.2696405726238091,1.8447436830542445,2024-12-16
200,46:07.6,26.70000076,49.84,5.53,-0.34317737078029,0.2685091805058646,1.8774577793595308,2024-12-16
201,46:08.6,26.70000076,49.84,5.52,-0.34317737078029,0.2685091805058646,1.861100731206887,2024-12-16
202,46:09.6,26.70000076,49.84,5.52,-0.34317737078029,0.2685091805058646,1.861100731206887,2024-12-16
203,46:10.6,26.70000076,49.82,5.54,-0.34317737078029,0.26624639626997476,1.8938148275121733,2024-12-16
204,46:11.6,26.70000076,49.82,5.54,-0.34317737078029,0.26624639626997476,1.8938148275121733,2024-12-16
205,46:12.6,26.70000076,49.81,5.54,-0.34317737078029,0.26511500415203026,1.8938148275121733,2024-12-16
206,46:13.7,26.70000076,49.8,5.55,-0.34317737078029,0.26398361203408494,1.9101718756648158,2024-12-16
207,46:14.7,26.70000076,49.8,5.55,-0.34317737078029,0.26398361203408494,1.9101718756648158,2024-12-16
208,46:15.7,26.70000076,49.79,5.54,-0.34317737078029,0.26285221991614044,1.8938148275121733,2024-12-16
209,46:16.7,26.70000076,49.78,5.54,-0.34317737078029,0.26172082779819594,1.8938148275121733,2024-12-16
210,46:17.7,26.70000076,49.78,5.54,-0.34317737078029,0.26172082779819594,1.8938148275121733,2024-12-16
211,46:18.7,26.70000076,49.78,5.53,-0.34317737078029,0.26172082779819594,1.8774577793595308,2024-12-16
212,46:19.7,26.70000076,49.8,5.53,-0.34317737078029,0.26398361203408494,1.8774577793595308,2024-12-16
213,46:20.7,26.70000076,49.8,5.53,-0.34317737078029,0.26398361203408494,1.8774577793595308,2024-12-16
214,46:21.7,26.70000076,49.78,5.53,-0.34317737078029,0.26172082779819594,1.8774577793595308,2024-12-16
215,46:22.7,26.70000076,49.77,5.53,-0.34317737078029,0.2605894356802514,1.8774577793595308,2024-12-16
216,46:23.7,26.70000076,49.77,5.54,-0.34317737078029,0.2605894356802514,1.8938148275121733,2024-12-16
